,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",8945491,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2,"pushin P (feat. Young Thug)",Gunna,6697046,https://open.spotify.com/track/3LnpBazWpD31QMTn6LgVGv
3,"Super Gremlin","Kodak Black",6480616,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
4,"Heat Waves","Glass Animals",6217836,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
5,"Surface Pressure","Jessica Darrow",6151208,https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",5594798,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,Eazy,"The Game",5391525,https://open.spotify.com/track/6Ab81Bs9fcOwaTYuBsUUpI
8,"STAY (with Justin Bieber)","The Kid LAROI",5308041,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
9,abcdefu,GAYLE,4972048,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
10,Sacrifice,"The Weeknd",4858327,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
11,"Fingers Crossed","Lauren Spencer-Smith",4345288,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
12,"Easy On Me",Adele,4336468,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
13,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",4283299,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
14,"P power (feat. Drake)",Gunna,4270838,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
15,"Need to Know","Doja Cat",4202760,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
16,"Out of Time","The Weeknd",3873266,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
17,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,3870216,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
18,"I Love You So","The Walters",3821243,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
19,"The Family Madrigal","Stephanie Beatriz",3812570,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
20,"good 4 u","Olivia Rodrigo",3786277,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
21,"Cold Heart - PNAU Remix","Elton John",3749917,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
22,Lost,"Frank Ocean",3666667,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
23,"Kiss Me More (feat. SZA)","Doja Cat",3652938,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
24,"What Else Can I Do?","Diane Guerrero",3635633,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
25,"Dark Red","Steve Lacy",3632672,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
26,"I Hate U",SZA,3627858,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
27,"Is There Someone Else?","The Weeknd",3619148,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
28,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",3430832,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
29,Woman,"Doja Cat",3415821,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
30,Shivers,"Ed Sheeran",3327135,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
31,"family ties (with Kendrick Lamar)","Baby Keem",3294937,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
32,"Sweater Weather","The Neighbourhood",3230826,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
33,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,3213774,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
34,"Meet Me At Our Spot","THE ANXIETY",3021982,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
35,Gasoline,"The Weeknd",2979214,https://open.spotify.com/track/3KyKxJ4P3pVCgaZwaq2rUC
36,"Smokin Out The Window","Bruno Mars",2908181,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
37,Sky,"Playboi Carti",2890412,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
38,"One Right Now (with The Weeknd)","Post Malone",2855638,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
39,"Waiting On A Miracle","Stephanie Beatriz",2855311,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
40,"Dos Oruguitas","Sebastian Yatra",2806404,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
41,"thought i was playing",Gunna,2775514,https://open.spotify.com/track/3XLbDUB5BX2WqL2qoAsvtb
42,Ghost,"Justin Bieber",2755586,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
43,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",2747046,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
44,"Way 2 Sexy (with Future & Young Thug)",Drake,2723212,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
45,"Happier Than Ever","Billie Eilish",2709031,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
46,"Less Than Zero","The Weeknd",2667741,https://open.spotify.com/track/2D4dV2KXDTszzJ3p3cFqhA
47,RAPSTAR,"Polo G",2662458,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
48,Softcore,"The Neighbourhood",2626683,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
